listing_no,title,description,price_chf,full_name,Art,Zustand,displacement,year,brand,model,mileage_km,fuel,colour,mfk,listing_type,last_edited,id,transmission,drive
58,HONDA CB 500 F,"Sie möchten das Motorrad Probefahren, ein Fahrzeug eintauschen oder ein Finanzierungs- / Leasings-Angebot? Besuchen Sie uns am besten während unseren Öffnungszeiten in unserem Showroom in Luzern oder rufen Sie uns an unter Tel. 041 259 01 11  Eigenschaften:  Ab MFK",6690,HONDA CB 500 F,NA,NA,NA,2022,HONDA,CB 500 F,3000,Benzin,Grau,yes,Angebot,2023-01-27,46630149,Schaltgetriebe,Hinterradantrieb
59,HONDA CB 500 F,"Ab Lager Lieferbar!  4 Jahre Werksgarantie!  Eine Lieferung zu Ihnen nach Hause, ist gegen Aufpreis von Fr.100.- pro Stunde Fahrzeit möglich.  AKTIONSPREIS  Eigenschaften:  Ab MFK",7190,HONDA CB 500 F,NA,NA,NA,2022,HONDA,CB 500 F,1,Benzin,Gelb,yes,Angebot,2023-02-17,46115552,Schaltgetriebe,Hinterradantrieb
60,HONDA CB 500 F,"Ab Lager Lieferbar!  4 Jahre Werksgarantie!  Eine Lieferung zu Ihnen nach Hause, ist gegen Aufpreis von Fr.100.- pro Stunde Fahrzeit möglich.  AKTIONSPREIS  Eigenschaften:  Ab MFK",7190,HONDA CB 500 F,NA,NA,NA,2022,HONDA,CB 500 F,1,Benzin,Grau,yes,Angebot,2023-02-17,46115551,Schaltgetriebe,Hinterradantrieb
61,HONDA CB 500 F,"Ab Lager Lieferbar!  4 Jahre Werksgarantie!  Eine Lieferung zu Ihnen nach Hause, ist gegen Aufpreis von Fr.100.- pro Stunde Fahrzeit möglich.  AKTIONSPREIS  Eigenschaften:  Ab MFK",7190,HONDA CB 500 F,NA,NA,NA,2022,HONDA,CB 500 F,1,Benzin,Schwarz,yes,Angebot,2023-02-17,46115550,Schaltgetriebe,Hinterradantrieb
62,HONDA CB 500 F,"Equipement supplémentaire:  Pneus neufs  Propriétés véhicule:  Expertisée  Leasing possible  L'echange est possible",6990,HONDA CB 500 F,NA,NA,NA,2022,HONDA,CB 500 F,325,Benzin,Gelb,yes,Angebot,2023-02-18,46010803,Schaltgetriebe,Hinterradantrieb
63,HONDA CB 500 F,"Eigenschaften:  Ab MFK  Leasing ist möglich  Eintausch ist möglich",6400,HONDA CB 500 F,NA,NA,NA,2022,HONDA,CB 500 F,1,Benzin,Gelb,yes,Angebot,2023-03-05,47194844,Schaltgetriebe,Hinterradantrieb
64,Honda CB 500 F ABS 2014 4200 km 35 kW,"Honda CB 500 F ABS
Inverkehrssetzung: 07.04.2014
Tachostand: 4'200 km
Farbe: weiss
Hubraum: 471 ccm
Leistung: 35 kW
Typenscheinnr: 6HA422
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 700 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, MFK, ab Service, Eintausch, Leasing, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",5500,Honda CB 500 F ABS 2014 4200 km 35 kW,Gegenstand ,Geringe Gebrauchsspuren ,500 Cm3,2014,HONDA,CB 500 F ABS,4200,NA,Weiss,yes,Angebot,2023-03-31,47628785,NA,NA
65,Honda CB 500 F ABS 2015 41700 km 35 kW,"Honda CB 500 F ABS
Inverkehrssetzung: 12.08.2015
Tachostand: 41'700 km
Farbe: weiss
Hubraum: 471 ccm
Leistung: 35 kW
Typenscheinnr: 6HA422
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 700 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, MFK, ab Service, Eintausch, Leasing, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",4500,Honda CB 500 F ABS 2015 41700 km 35 kW,Gegenstand ,Geringe Gebrauchsspuren ,500 Cm3,2015,HONDA,CB 500 F ABS,41700,NA,Weiss,yes,Angebot,2023-03-30,47616565,NA,NA
66,HONDA CB 500 F,"La moto est en parfait état, vendu expertisée avec une garantie d'usine Honda de 48 mois dès la première mise en circulation.  Le véhicule est vendu avec 2ans de service inclus. (Offre spécial)  -Le financement est possible pour ce véhicule.  Nous parlons français, anglais, italien, espagnol et portugais.  Votre agent officiel Honda, DaytonaShop  2 ans de service Offert !!   Equipement supplémentaire:  Pneus neufs  Propriétés véhicule:  Expertisée  Leasing possible  L'echange est possible",7690,HONDA CB 500 F,NA,NA,NA,2023,HONDA,CB 500 F,1,Benzin,Grau,yes,Angebot,2023-03-02,45963782,Schaltgetriebe,Hinterradantrieb
67,HONDA CB 500 F,"Propriétés véhicule:  Expertisée",6200,HONDA CB 500 F,NA,NA,NA,2021,HONDA,CB 500 F,6680,Benzin,Schwarz,yes,Angebot,2022-12-01,45936715,Schaltgetriebe,Hinterradantrieb
68,Honda CB 500 F ABS 2015 9400 km 35 kW,"Honda CB 500 F ABS
Inverkehrssetzung: 06.05.2015
Tachostand: 9'400 km
Farbe: weiss/rot
Hubraum: 471 ccm
Leistung: 35 kW
Typenscheinnr: 6HA422
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 200 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, MFK, ab Service, Eintausch, Leasing, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",5900,Honda CB 500 F ABS 2015 9400 km 35 kW,Gegenstand ,Geringe Gebrauchsspuren ,500 Cm3,2015,HONDA,CB 500 F ABS,9400,NA,NA,no,Angebot,2023-03-24,47527293,NA,NA
69,"HONDA CB 500 F ABS (35kW) New Model,AB LAGER!","Neufahrzeug mit 0 Kilometer ab Lager lieferbar mit 48 Monaten Werksgarantie. Exkl. Bereitstellungskosten.  Ab Lager lieferbar!  Extras:  Neu bereift  Eigenschaften:  Ab MFK",7690,"HONDA CB 500 F ABS (35kW) New Model,AB LAGER!",NA,NA,NA,2023,HONDA,"CB 500 F ABS (35kW) New Model,AB LAGER!",1,Benzin,Schwarz,yes,Angebot,2023-04-01,47638986,Schaltgetriebe,Hinterradantrieb
70,HONDA CB 500 F,"Aktion für Fahranfänger, die ihren A-Limit-Führerschein noch keine 2 Jahre besitzen gibt es einen Rabatt von 500,-.   Jetzt kostet die CB500FA 7190,- anstatt 7690,- nur bis zum 31.05.2023  Aktionspreis  Eigenschaften:  Ab MFK",7190,HONDA CB 500 F,NA,NA,NA,2022,HONDA,CB 500 F,1,Benzin,Grau,yes,Angebot,2023-03-15,45772264,Schaltgetriebe,Hinterradantrieb
71,HONDA CB 500 F,"Eigenschaften:  Ab MFK",7190,HONDA CB 500 F,NA,NA,NA,2022,HONDA,CB 500 F,1,Benzin,Grau,yes,Angebot,2023-01-06,45772130,Schaltgetriebe,Hinterradantrieb
72,HONDA CB 500 F,"Eigenschaften:  Ab MFK",7190,HONDA CB 500 F,NA,NA,NA,2022,HONDA,CB 500 F,1,Benzin,Grau,yes,Angebot,2023-01-06,45772128,Schaltgetriebe,Hinterradantrieb
73,Honda CB 500 F ABS 2013 17500 km 35 kW,"Honda CB 500 F ABS
Inverkehrssetzung: 08.05.2013
Tachostand: 17'500 km
Farbe: weiss
Hubraum: 471 ccm
Leistung: 35 kW
Typenscheinnr: 6HA422
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 200 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, MFK, ab Service, Eintausch, Leasing, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",5500,Honda CB 500 F ABS 2013 17500 km 35 kW,Gegenstand ,Geringe Gebrauchsspuren ,500 Cm3,2013,HONDA,CB 500 F ABS,17500,NA,Weiss,no,Angebot,2023-03-18,47420935,NA,NA
74,HONDA CB 500 F,"Ab Service  Eigenschaften:  Ab MFK",6600,HONDA CB 500 F,NA,NA,NA,2022,HONDA,CB 500 F,2600,Benzin,Grau,yes,Angebot,2022-11-16,45745225,Schaltgetriebe,Hinterradantrieb
75,Honda CB 500 F ABS 2015 21900 km 35 kW,"Honda CB 500 F ABS
Inverkehrssetzung: 22.04.2015
Tachostand: 21'900 km
Farbe: rot
Hubraum: 471 ccm
Leistung: 35 kW
Typenscheinnr: 6HA422
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 700 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, MFK, ab Service, Eintausch, Leasing, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",5900,Honda CB 500 F ABS 2015 21900 km 35 kW,Gegenstand ,Geringe Gebrauchsspuren ,500 Cm3,2015,HONDA,CB 500 F ABS,21900,NA,Rot,no,Angebot,2023-03-15,47361474,NA,NA
76,"HONDA CB 500 F, 8400 km","Parfait état, expertisée du jour,
Sort du service, garantie 3 mois.
35 kW,
ABS,
Crash pads,
Possibilité de financement (crédit, leasing),
Reprise possible sur scooter ou moto.
",5500,"HONDA CB 500 F, 8400 km",Gegenstand ,Neuwertig ,500 Cm3,2016,HONDA,CB 500 F,8400,NA,Weiss,yes,Angebot,2023-03-16,44263644,NA,NA
77,Honda CB 500 F ABS 2014 11200 km 35 kW,"Honda CB 500 F ABS
Inverkehrssetzung: 14.08.2014
Tachostand: 11'200 km
Farbe: weiss
Hubraum: 471 ccm
Leistung: 35 kW
Typenscheinnr: 6HA422
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 700 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, Eintausch, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",4900,Honda CB 500 F ABS 2014 11200 km 35 kW,Gegenstand ,Geringe Gebrauchsspuren ,500 Cm3,2014,HONDA,CB 500 F ABS,11200,NA,Weiss,no,Angebot,2023-03-11,47299346,NA,NA
78,Honda CB 500 F ABS 2019 9200 km 35 kW,"Honda CB 500 F ABS
Inverkehrssetzung: 19.02.2019
Tachostand: 9'200 km
Farbe: rot
Hubraum: 471 ccm
Leistung: 35 kW
Typenscheinnr: 6HA599
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 700 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, Eintausch, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",6900,Honda CB 500 F ABS 2019 9200 km 35 kW,Gegenstand ,Geringe Gebrauchsspuren ,500 Cm3,2019,HONDA,CB 500 F ABS,9200,NA,Rot,no,Angebot,2023-03-11,47292723,NA,NA
79,Honda CB 500 F ABS 2017 9300 km 35 kW,"Honda CB 500 F ABS
Inverkehrssetzung: 09.03.2017
Tachostand: 9'300 km
Farbe: schwarz
Hubraum: 471 ccm
Leistung: 35 kW
Typenscheinnr: 6HA422
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 200 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, Eintausch, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",6500,Honda CB 500 F ABS 2017 9300 km 35 kW,Gegenstand ,Geringe Gebrauchsspuren ,500 Cm3,2017,HONDA,CB 500 F ABS,9300,NA,Schwarz,no,Angebot,2023-03-11,47291308,NA,NA
80,Honda CB 500 F ABS 2021 900 km 35 kW,"Honda CB 500 F ABS
Inverkehrssetzung: 26.05.2021
Tachostand: 900 km
Farbe: rot
Hubraum: 471 ccm
Leistung: 35 kW
Typenscheinnr: 6XA560
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 200 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, Eintausch, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",7500,Honda CB 500 F ABS 2021 900 km 35 kW,Gegenstand ,Geringe Gebrauchsspuren ,500 Cm3,2021,HONDA,CB 500 F ABS,900,NA,Rot,no,Angebot,2023-03-09,47259559,NA,NA
81,HONDA CB 500 F,"Eigenschaften:  Ab MFK",7690,HONDA CB 500 F,NA,NA,NA,2023,HONDA,CB 500 F,1,Benzin,Rot,yes,Angebot,2022-11-03,45574860,Schaltgetriebe,Hinterradantrieb
82,HONDA CB 500 F,"Eigenschaften:  Ab MFK  Leasing ist möglich  35 kW Kit möglich",7150,HONDA CB 500 F,NA,NA,NA,2022,HONDA,CB 500 F,1,Benzin,Schwarz,yes,Angebot,2023-03-29,45848141,Schaltgetriebe,Hinterradantrieb
83,HONDA CB 500 F,"Zuberhör:   -Felgendecor  -Tankschutz  -Nummernschild  -Heckumbau  -mini Rückspiegelumbau  Zubehör aufpreispflichtig!  Tade-IN/Trade-Up Aktion  Wir möchten eine Unterstützung für den Eintausch eines 125er-Motorrads bei der Zulassung eines neuen Motorrads der Klasse A2 einführen.  Als Rabatt:  -	CHF 500.– beim Kauf einer CB300R/CB500F/CBR500  -	CHF 650.– beim Kauf einer CB650R/CBR650  Sport-Kit. Tade-IN/Trade-Up Aktion  Eigenschaften:  Ab MFK  Leasing ist möglich  Eintausch ist möglich",6990,HONDA CB 500 F,NA,NA,NA,2023,HONDA,CB 500 F,2,Benzin,Grau,yes,Angebot,2023-03-10,45772098,Schaltgetriebe,Hinterradantrieb
84,HONDA CB 500 F,"Eigenschaften:  Ab MFK",6700,HONDA CB 500 F,NA,NA,NA,2022,HONDA,CB 500 F,2100,Benzin,Grau,yes,Angebot,2022-10-21,45405556,Schaltgetriebe,Hinterradantrieb
85,"Honda CB500F 2015, 14'000km","Bon état général, parfait pour le permis 35kW.
Moto très maniable et légère.
Complètement d'origine.
Je suis une femme de 165cm et elle me convient parfaitement.
Quelques marques sur le côté droite car elle a versé une fois dans le garage.
Jamais eu d'accident.
Topcase vendu avec.
Pneus en excellent état.
Expertisable du jour.
",4500,"Honda CB500F 2015, 14'000km",Gegenstand ,Geringe Gebrauchsspuren ,500 Cm3,2015,HONDA,CB 500 F,14000,Benzin,Rot,yes,Angebot,2023-03-28,43891506,Schaltgetriebe,Kette
86,HONDA CB 500 F ABS,"KUNDENAUFTRAG  MIT TOP BOX  Eigenschaften:  Ab MFK  Leasing ist möglich  Eintausch ist möglich",5990,HONDA CB 500 F ABS,NA,NA,NA,2020,HONDA,CB 500 F ABS,2200,Benzin,Orange,yes,Angebot,2022-10-14,45320570,Schaltgetriebe,Hinterradantrieb
87,HONDA CB 500 F,"Demomodell  Neues Modell mit der neuen Gabel und den Doppelbremsscheiben vorne etc..  Fahrzeug wurde bei Ankunft im Juli 2022 in verkehr gesetzt.  Demomodell. Neues Modell mit der neuen Gabel und den Doppelbremsscheiben etc..  Eigenschaften:  Ab MFK  Leasing ist möglich  Eintausch ist möglich",6960,HONDA CB 500 F,NA,NA,NA,2022,HONDA,CB 500 F,300,Benzin,Schwarz,yes,Angebot,2022-10-09,45254022,Schaltgetriebe,Hinterradantrieb
88,HONDA CB 500 F ABS,"Motorrad Zustand: Top  Die grosse Ausstellungshalle mit über 150 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.  3 Monate Garantie, Eintausch, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.  Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.  Das Motorrad muss vor einer allfälligen Lieferung oder der Abholung durch Sie komplett bezahlt und bei uns verbucht sein. Die Bezahlung kann online, per EC (keine Kreditkarten) oder durch Barzahlung erfolgen.  Bei Fragen oder Unsicherheiten können Sie uns telefonisch auf den Nummern 079 717 53 12 / 062 393 12 96 oder per Mail via Knopf [Anfrage] erreichen.  Jg. 2021, 471 ccm, 35 kW  Eigenschaften:  Ab MFK",7500,HONDA CB 500 F ABS,NA,NA,NA,2021,HONDA,CB 500 F ABS,900,NA,Rot,yes,Angebot,2022-10-08,45243081,NA,NA
89,HONDA CB 500 F,"Tauschen Sie Ihr 125ccm ein und erhalten einen Bonus von 500.- Fr. auf den CB 500 F. Gültig bis 30. April 2023  Tauschen Sie Ihr 125ccm ein und erhalten einen Bonus von 500.- Fr. auf den CB 500 F. Gültig bis 30. April 2023  Eigenschaften:  Ab MFK  Leasing ist möglich  Eintausch ist möglich",7690,HONDA CB 500 F,NA,NA,NA,2022,HONDA,CB 500 F,1,Benzin,Rot,yes,Angebot,2023-01-19,44599103,Schaltgetriebe,Hinterradantrieb
90,HONDA CB 500 F,"Im Auftrag  Hecktieferlegung 3cm  Eigenschaften:  Ab MFK",6500,HONDA CB 500 F,NA,NA,NA,2021,HONDA,CB 500 F,87,Benzin,Gelb,yes,Angebot,2022-10-22,44558801,Schaltgetriebe,Hinterradantrieb
91,HONDA CB 500 F ABS,"Honda CB500FA 35kW  ** Ideales Einsteigermotorrad**  Finanzierung, Eintausch möglich..  - erst 1200KM  - frisch ab 1000`er Service  - Fahrzeug ab MFK  - Eine Besichtigung Lohnt sich!  Transport möglich, nach Absprache!  !!!WICHTIG!!!  Für Fahrzeugbesichtigungen bitte telefonisch ein Termin vereinbaren.  Verschiedene Neufahrzeuge und gepflegte Occasionen ab Lager verfügbar..   Eigenschaften:  Ab MFK  Leasing ist möglich  Eintausch ist möglich",6590,HONDA CB 500 F ABS,NA,NA,NA,2020,HONDA,CB 500 F ABS,1200,Benzin,Anthrazit,yes,Angebot,2022-10-28,44874737,Schaltgetriebe,Hinterradantrieb
92,HONDA CB 500 F ABS,"Eigenschaften:  Ab MFK",4990,HONDA CB 500 F ABS,NA,NA,NA,2013,HONDA,CB 500 F ABS,8004,Benzin,Rot,yes,Angebot,2022-08-14,44533878,NA,NA
93,HONDA CB 500 F ABS (35kW),"Neuwertige CB500FA ABS mit Werksgarantie bis 24.11.2025. Das ideale Einsteiger Motorrad.  Eigenschaften:  Ab MFK",6190,HONDA CB 500 F ABS (35kW),NA,NA,NA,2021,HONDA,CB 500 F ABS (35kW),2300,Benzin,Schwarz,yes,Angebot,2022-12-03,44862899,Schaltgetriebe,Hinterradantrieb
94,"HONDA CB 500 F ABS (35kW) New Model, ab Lager!","Neufahrzeug mit 48 Monaten Werksgarantie ab Lager lieferbar. Exkl. Bereitstellungskosten.  Ab Lager lieferbar!  Extras:  Neu bereift  Eigenschaften:  Ab MFK",7690,"HONDA CB 500 F ABS (35kW) New Model, ab Lager!",NA,NA,NA,2023,HONDA,"CB 500 F ABS (35kW) New Model, ab Lager!",1,Benzin,Grau,yes,Angebot,2023-02-11,45772291,Schaltgetriebe,Hinterradantrieb
95,HONDA CB 500 F,"Dispo : en noir et rouge   Propriétés véhicule:  Expertisée",7690,HONDA CB 500 F,NA,NA,NA,2022,HONDA,CB 500 F,1,Benzin,Schwarz,yes,Angebot,2022-11-18,43451095,Schaltgetriebe,Hinterradantrieb
96,HONDA CB 500 F,"Propriétés véhicule:  Expertisée  Leasing possible",7090,HONDA CB 500 F,NA,NA,NA,2022,HONDA,CB 500 F,1,Benzin,Grau,yes,Angebot,2022-06-08,43762455,Schaltgetriebe,Hinterradantrieb
97,HONDA CB 500 F ABS,"Wir von der Moto Welt GmbH bieten dir eine grosse Auswahl an neuen und gebrauchten Motorrädern.   Unser Showroom verteilt sich auf über 600m²  Besuche uns während unseren Öffnungszeiten in Neftenbach und bestaune alle inserierten Fahrzeuge vor Ort.   Wir freuen uns auf dich.   Ab Service und mit Garantie  Eigenschaften:  Eintausch ist möglich",5990,HONDA CB 500 F ABS,NA,NA,NA,2019,HONDA,CB 500 F ABS,4500,Benzin,Orange,no,Angebot,2022-09-02,43591318,Schaltgetriebe,Hinterradantrieb
98,"HONDA CB 500 F ABS (35kW), New Model AB LAGER!","Neufahrzeug mit 0 Kilometer und vollen 48 Monaten Werksgarantie. Ab Lager lieferbar. Exkl. Bereitstellungskosten.  Extras:  Neu bereift  Eigenschaften:  Ab MFK",7690,"HONDA CB 500 F ABS (35kW), New Model AB LAGER!",NA,NA,NA,2023,HONDA,"CB 500 F ABS (35kW), New Model AB LAGER!",1,Benzin,Rot,yes,Angebot,2022-11-03,45574946,Schaltgetriebe,Hinterradantrieb
99,HONDA CB 500 F,"Eigenschaften:  Ab MFK  Leasing ist möglich  35 kW Kit vorhanden",6950,HONDA CB 500 F,NA,NA,NA,2022,HONDA,CB 500 F,1,Benzin,Rot,yes,Angebot,2022-09-04,42941765,Schaltgetriebe,Hinterradantrieb
100,HONDA CB 500 F,"Eigenschaften:  Ab MFK  Leasing ist möglich",7090,HONDA CB 500 F,NA,NA,NA,2022,HONDA,CB 500 F,1,Benzin,Rot,yes,Angebot,2023-03-01,42858870,Schaltgetriebe,Hinterradantrieb
101,HONDA CB 500 F,"Eigenschaften:  Ab MFK  Leasing ist möglich",7090,HONDA CB 500 F,NA,NA,NA,2022,HONDA,CB 500 F,1,Benzin,Schwarz,yes,Angebot,2023-03-01,42858869,Schaltgetriebe,Hinterradantrieb
102,HONDA CB 500 F,"Eigenschaften:  Ab MFK",7690,HONDA CB 500 F,NA,NA,NA,2022,HONDA,CB 500 F,5,Benzin,Grau,yes,Angebot,2022-04-02,42846788,Schaltgetriebe,Hinterradantrieb
103,HONDA CB 500 F,"Eigenschaften:  Ab MFK",7690,HONDA CB 500 F,NA,NA,NA,2022,HONDA,CB 500 F,1,Benzin,Schwarz,yes,Angebot,2022-04-05,42377032,Schaltgetriebe,Hinterradantrieb
104,HONDA CB 500 F,"Eigenschaften:  Ab MFK",7690,HONDA CB 500 F,NA,NA,NA,2022,HONDA,CB 500 F,1,Benzin,Grau,yes,Angebot,2022-04-05,42377031,Schaltgetriebe,Hinterradantrieb
105,HONDA CB 500 F,"Eigenschaften:  Ab MFK",7690,HONDA CB 500 F,NA,NA,NA,2022,HONDA,CB 500 F,1,Benzin,Rot,yes,Angebot,2022-04-05,42377030,Schaltgetriebe,Hinterradantrieb
106,HONDA CB 500 F,"Eigenschaften:  Ab MFK",7690,HONDA CB 500 F,NA,NA,NA,2022,HONDA,CB 500 F,1,Benzin,Gelb,yes,Angebot,2022-04-05,42377029,Schaltgetriebe,Hinterradantrieb
107,HONDA CB 500 F,"Eigenschaften:  Ab MFK  Leasing ist möglich",7190,HONDA CB 500 F,NA,NA,NA,2022,HONDA,CB 500 F,1,Benzin,Grau,yes,Angebot,2023-03-01,42284266,Schaltgetriebe,Hinterradantrieb
108,HONDA CB 500 F,"Eigenschaften:  Ab MFK",7690,HONDA CB 500 F,NA,NA,NA,2022,HONDA,CB 500 F,1,Benzin,Gelb,yes,Angebot,2022-04-13,42270426,Schaltgetriebe,Hinterradantrieb
109,HONDA CB 500 F,"Zubehör aufpreispflichtig: Soziussitzabdeckung und Auspuffanlage homologiert  Tade-In/Trade-Up Aktion  Wir möchten eine Unterstützung für den Eintausch eines 125er-Motorrads bei der Zulassung eines neuen Motorrads der Klasse A2 einführen.  Als Rabatt:  -	CHF 500.– beim Kauf einer CB300R/CB500F/CBR500  -	CHF 650.– beim Kauf einer CB650R/CBR650  Sport-Kit. Tade-In/Trade-Up Aktio  Eigenschaften:  Ab MFK  Leasing ist möglich  Eintausch ist möglich",6990,HONDA CB 500 F,NA,NA,NA,2023,HONDA,CB 500 F,1,Benzin,Mehrfarbig,yes,Angebot,2023-03-10,42034603,Schaltgetriebe,Hinterradantrieb
110,HONDA CB 500 F,"Eigenschaften:  Ab MFK  Leasing ist möglich  Eintausch ist möglich",6600,HONDA CB 500 F,NA,NA,NA,2022,HONDA,CB 500 F,1,Benzin,Gelb,yes,Angebot,2023-02-26,42953694,Schaltgetriebe,Hinterradantrieb
