listing_no,title,description,price_chf,full_name,Art,Zustand,displacement,year,brand,model,mileage_km,transmission,fuel,colour,drive,listing_type,last_edited,id,mfk
1,Kawasaki ER-6N,"Kawasaki ER 6N
KM: 9480
ABS: Ja
Sehr guter Zustand. Das Motorrad hat jetzt die original Spiegel drauf.
Beide Reifen sind max 2000km gefahren. Bei ernste Interesse bitte anrufen.
Wird Leider verkauft, weil ich keine Zeit mehr für Motorrad fahren habe.
",4900,Kawasaki ER-6N,Gegenstand ,Neu ,600 Cm3,2015,KAWASAKI,ER6N,9500,Schaltgetriebe,Benzin,Weiss,Hinterradantrieb,Angebot,2023-03-30,47449398,no
2,Kawasaki 650 ER-6n,"Kawasaki 650 ER-6n 35kW
Ganganzeige
Akrapovic Auspuff (Racing Line 1-2 Titan)
Neue Batterie
",4500,Kawasaki 650 ER-6n,Gegenstand ,Geringe Gebrauchsspuren ,600 Cm3,2012,KAWASAKI,650 ER-6n,7000,Schaltgetriebe,Benzin,Gelb,Kette,Angebot,2023-03-27,47280490,no
3,KAWASAKI ER-6n,"Gepflegte Kawasaki ER-6N mit TopCase und Sturzpads. Ebenso frisch ab Jahresservice und mit neuen Reifen.  Extras:  Neu bereift",4500,KAWASAKI ER-6n,NA,NA,NA,2012,KAWASAKI,ER-6n,17289,Schaltgetriebe,Benzin,Weiss,Hinterradantrieb,Angebot,2023-03-07,47225153,no
4,Kawasaki Er6n ABS,"Moto en très bon état, toujours dans un garage, bridée pour permis, service récent, batterie neuve, alternateur neuf, aucun frais immédiat à prévoir.
",3000,Kawasaki Er6n ABS,Gegenstand ,Geringe Gebrauchsspuren ,600 Cm3,2007,KAWASAKI,Er 6 N,44000,NA,NA,NA,NA,Angebot,2023-03-29,47499977,no
5,KAWASAKI ER-6n,"Leistung: 35 kW
Leergewicht: 281 kg
Nutz-/Sattellast: 125 kg
Gesamtgewicht: 406 kg
Letzte Prüfung: 02.03.2022
",4000,KAWASAKI ER-6n,Gegenstand ,Geringe Gebrauchsspuren ,600 Cm3,2014,KAWASAKI,NA,NA,Schaltgetriebe,NA,Schwarz,NA,Angebot,2023-03-23,46228234,no
6,Kawasaki er6n,"Kawasaki er6n 
26500km 
Expertisée jusqu’à décembre 2023
Bon état général, très bien entretenue, petit service à prévoir car n’as pas beaucoup roulé ses derniers mois.
Elle est tombée à l’arrêt donc quelque traces (voir photos)
",3200,Kawasaki er6n,Gegenstand ,Geringe Gebrauchsspuren ,600 Cm3,2009,KAWASAKI,Er6n,26500,Schaltgetriebe,Benzin,Schwarz,NA,Angebot,2023-03-29,47597267,no
7,KAWASAKI ER-6n ABS,"Zubehör: Handyhalter, Sturzpads.  Das Motorrad hat diverse Gebrauchsspuren.  Mit der Strahm Membercard für Fr.100.- gibt`s 5% Rabatt (bis CHF 10'000.-) auf Occasionsfahrzeuge (ohne Eintausch), 5% Rabatt auf Ersatzteile, Bekleidung, Zubehör, bis 20% auf Mietmotorräder und Pneu. Gratis Raclette-Essen für 2 Personen Ende Saison. Jede Woche ein Gratis Getränk im Saloon Madiswil. Gratis Pannendienst in der Schweiz während unserer Öffnungszeiten, Gratis Ersatzfahrzeug während der Servicedauer.  Eigenschaften:  Ab MFK",3990,KAWASAKI ER-6n ABS,NA,NA,NA,2007,KAWASAKI,ER-6n ABS,46000,NA,Benzin,Orange,NA,Angebot,2023-01-13,46446980,yes
8,Moto Kawasaki er6n,"Je vends ma Kawasaki ER 6 N en parfait état.
Bridé à 35 kw
Véhicule très facile à manier idéal pour débuter 
Service fait 
Pneu arrière neuf 
Expertisé en septembre 21 
Peut être expertisé du jour pour la vente
Éventuellement
",4700,Moto Kawasaki er6n,Gegenstand ,Neuwertig ,750 Ccm,2011,KAWASAKI,ER 6N ABS,18000,Schaltgetriebe,Benzin,Weiss,NA,Angebot,2023-03-16,47387435,no
9,Kawasaki er6N,"A vendre moto Kawasaki er6N
état comme neuve,
Il est possible de la brider en 35kw
véhicule toujours entretenu chez Kawasaki
",4200,Kawasaki er6N,Gegenstand ,Neuwertig ,600 Cm3,2009,KAWASAKI,Er6N,13370,Schaltgetriebe,Benzin,Weiss,NA,Angebot,2023-03-21,46966982,no
10,Kawasaki ER-6n ABS 2006 72300 km 25 kW,"Kawasaki ER-6n ABS
Inverkehrssetzung: 12.05.2006
Tachostand: 72'300 km
Farbe: gelb
Hubraum: 649 ccm
Leistung: 25 kW
Typenscheinnr: 6KA212
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 700 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, MFK, ab Service, Eintausch, Leasing, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",3900,Kawasaki ER-6n ABS 2006 72300 km 25 kW,Gegenstand ,Geringe Gebrauchsspuren ,750 Ccm,2006,KAWASAKI,ER-6n ABS,72300,NA,NA,Gelb,NA,Angebot,2023-03-30,47612721,yes
11,Kawasaki ER-6n ABS 2006 72300 km 53 kW,"Kawasaki ER-6n ABS
Inverkehrssetzung: 12.05.2006
Tachostand: 72'300 km
Farbe: gelb
Hubraum: 649 ccm
Leistung: 53 kW
Typenscheinnr: 6KA212
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 700 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, MFK, ab Service, Eintausch, Leasing, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",3500,Kawasaki ER-6n ABS 2006 72300 km 53 kW,Gegenstand ,Geringe Gebrauchsspuren ,750 Ccm,2006,KAWASAKI,ER-6n ABS,72300,NA,NA,Gelb,NA,Angebot,2023-03-30,47612582,yes
12,Kawasaki ER-6n ABS 2008 39200 km 25 kW,"Kawasaki ER-6n ABS
Inverkehrssetzung: 19.05.2008
Tachostand: 39'200 km
Farbe: orange
Hubraum: 649 ccm
Leistung: 25 kW
Typenscheinnr: 6KA214
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 700 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, MFK, ab Service, Eintausch, Leasing, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",4300,Kawasaki ER-6n ABS 2008 39200 km 25 kW,Gegenstand ,Geringe Gebrauchsspuren ,750 Ccm,2008,KAWASAKI,ER-6n ABS,39200,NA,NA,Orange,NA,Angebot,2023-03-30,47612522,yes
13,Kawasaki ER-6n 2008 14800 km 53 kW,"Kawasaki ER-6n
Inverkehrssetzung: 17.03.2008
Tachostand: 14'800 km
Farbe: grün
Hubraum: 649 ccm
Leistung: 53 kW
Typenscheinnr: 6KA234
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 700 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, MFK, ab Service, Eintausch, Leasing, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",4900,Kawasaki ER-6n 2008 14800 km 53 kW,Gegenstand ,Geringe Gebrauchsspuren ,750 Ccm,2008,KAWASAKI,ER-6n,14800,NA,NA,Grün,NA,Angebot,2023-03-31,47628395,yes
14,Kawasaki ER-6n 2006 25100 km 25 kW,"Kawasaki ER-6n
Inverkehrssetzung: 25.08.2006
Tachostand: 25'100 km
Farbe: orange
Hubraum: 649 ccm
Leistung: 25 kW
Typenscheinnr: 6KA212
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 200 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, MFK, ab Service, Eintausch, Leasing, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",4900,Kawasaki ER-6n 2006 25100 km 25 kW,Gegenstand ,Geringe Gebrauchsspuren ,750 Ccm,2006,KAWASAKI,ER-6n,25100,NA,NA,Orange,NA,Angebot,2023-03-31,47625655,yes
15,Kawasaki ER-6n 2007 26800 km 25 kW,"Kawasaki ER-6n
Inverkehrssetzung: 16.03.2007
Tachostand: 26'800 km
Farbe: schwarz
Hubraum: 649 ccm
Leistung: 25 kW
Typenscheinnr: 6KA215
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 700 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, MFK, ab Service, Eintausch, Leasing, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",5300,Kawasaki ER-6n 2007 26800 km 25 kW,Gegenstand ,Geringe Gebrauchsspuren ,750 Ccm,2007,KAWASAKI,ER-6n,26800,NA,NA,Schwarz,NA,Angebot,2023-03-31,47625276,yes
16,Kawasaki ER-6n ABS 2007 26800 km 53 kW,"Kawasaki ER-6n ABS
Inverkehrssetzung: 16.03.2007
Tachostand: 26'800 km
Farbe: gelb
Hubraum: 649 ccm
Leistung: 53 kW
Typenscheinnr: 6KA214
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 700 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, MFK, ab Service, Eintausch, Leasing, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",4900,Kawasaki ER-6n ABS 2007 26800 km 53 kW,Gegenstand ,Geringe Gebrauchsspuren ,750 Ccm,2007,KAWASAKI,ER-6n ABS,26800,NA,NA,Gelb,NA,Angebot,2023-03-30,47617296,yes
17,Kawasaki ER-6n 2011 24900 km 53 kW,"Kawasaki ER-6n
Inverkehrssetzung: 06.04.2011
Tachostand: 24'900 km
Farbe: grün/schwarz
Hubraum: 649 ccm
Leistung: 53 kW
Typenscheinnr: 6KA244
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 700 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, MFK, ab Service, Eintausch, Leasing, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",4900,Kawasaki ER-6n 2011 24900 km 53 kW,Gegenstand ,Geringe Gebrauchsspuren ,750 Ccm,2011,KAWASAKI,ER-6n,24900,NA,NA,NA,NA,Angebot,2023-03-14,47339274,no
18,Kawasaki ER-6n 2011 24900 km 25 kW,"Kawasaki ER-6n
Inverkehrssetzung: 06.04.2011
Tachostand: 24'900 km
Farbe: grün
Hubraum: 649 ccm
Leistung: 25 kW
Typenscheinnr: 6KA245
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 700 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, Eintausch, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",5300,Kawasaki ER-6n 2011 24900 km 25 kW,Gegenstand ,Geringe Gebrauchsspuren ,750 Ccm,2011,KAWASAKI,ER-6n,24900,NA,NA,Grün,NA,Angebot,2023-03-11,47295218,no
19,Kawasaki ER-6n 2008 14800 km 25 kW,"Kawasaki ER-6n
Inverkehrssetzung: 17.03.2008
Tachostand: 14'800 km
Farbe: grün
Hubraum: 649 ccm
Leistung: 25 kW
Typenscheinnr: 6KA235
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 700 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, Eintausch, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",5300,Kawasaki ER-6n 2008 14800 km 25 kW,Gegenstand ,Geringe Gebrauchsspuren ,750 Ccm,2008,KAWASAKI,ER-6n,14800,NA,NA,Grün,NA,Angebot,2023-03-10,47278770,no
20,Kawasaki ER-6n 2010 14100 km 25 kW,"Kawasaki ER-6n
Inverkehrssetzung: 22.09.2010
Tachostand: 14'100 km
Farbe: grün
Hubraum: 649 ccm
Leistung: 25 kW
Typenscheinnr: 6KA245
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 700 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, Eintausch, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",5300,Kawasaki ER-6n 2010 14100 km 25 kW,Gegenstand ,Geringe Gebrauchsspuren ,750 Ccm,2010,KAWASAKI,ER-6n,14100,NA,NA,Grün,NA,Angebot,2023-03-10,47278240,no
21,Kawasaki ER-6n 2010 14100 km 53 kW,"Kawasaki ER-6n
Inverkehrssetzung: 22.09.2010
Tachostand: 14'100 km
Farbe: grün
Hubraum: 649 ccm
Leistung: 53 kW
Typenscheinnr: 6KA244
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 700 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, Eintausch, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",4900,Kawasaki ER-6n 2010 14100 km 53 kW,Gegenstand ,Geringe Gebrauchsspuren ,750 Ccm,2010,KAWASAKI,ER-6n,14100,NA,NA,Grün,NA,Angebot,2023-03-08,47243496,no
22,Moto Kawasaki er6n  650 ABS 53 kw,"Je vends ma kawasaki avec :
Crash pad
Selle confort
Rabaissée ""bague pour remettre d'origine inclue""
Échappement Scorpion homologué
Pneus neufs.
Expertisée.
Moto très sympa, facile à conduire idéale pour passer le permis.
État impeccable conduite par une personne très soigneuse, à toujours été garée dans un garage.
Service début de saison fait du jour.
Libre de suite.
ARNAQUES S'ABSTENIR.    MERCI
",4000,Moto Kawasaki er6n  650 ABS 53 kw,Gegenstand ,Neuwertig ,750 Ccm,2011,KAWASAKI,ER6N 650,27915,Schaltgetriebe,Benzin,Grün,Kette,Angebot,2023-03-31,47540757,yes
23,Kawasaki ER-6n,"Parfaite pour le passage du permis gros cube.
Excellent état.
Expertisée octobre 2022
",5200,Kawasaki ER-6n,Gegenstand ,Geringe Gebrauchsspuren ,600 Cm3,2016,KAWASAKI,ER-6n,8800,NA,NA,NA,NA,Angebot,2023-03-20,47468494,yes
24,Kawasaki Er-6n,"Kawasaki ER-6N 
Brider à 35kw
Super Moto idéal pour permis 35kw
Très souple et maniable 
34’200km
Pot d’échappement Léo Vince Gp pro avec  le papier d’homologation 
Aucun frais à prévoir
",5500,Kawasaki Er-6n,Gegenstand ,Geringe Gebrauchsspuren ,600 Cm3,NA,KAWASAKI,ER-6N,34200,NA,Benzin,NA,NA,Angebot,2023-03-15,47368439,no
25,KAWASAKI ER-6 n ABS (25kW),"Il veicolo ha 8.927 Km, è in ottime condizioni ed è visibile nel nostro show-room a Camorino.  30 giorni di garanzia inclusi, estendibili fino a 24 mesi.  È possibile acquistare con un finanziamento personalizzato.  Dotazione / Accessori inclusi nel prezzo :  Porta Targa Corto + Frecce LED  Questo veicolo è stato selezionato tra migliaia di moto d’occasione per essere esposto in conto vendita nel nostro showroom. Da noi trovi molti altri veicoli in conto vendita sottoposti ad un attento controllo tecnico.  Il pacchetto “messa in strada” ha un costo di soli 250chf e comprende: controllo dei livelli, cambio liquido freni, pieno di benzina, pratiche di immatricolazione e collaudo.  ----------------------------------------------------------------------------  The vehicle has 8.927 Km, it’s in very good conditions and it can be seen in our show-room in Camorino (Bellinzona).  30 days of warranty are included. Extension is possible up to 24 months.  Monthly payment can be accorded.  Included Optionals/Accessories:  Short license plate holder + Led indicators  On sale on behalf of a private, this vehicle has been selected among the thousands for sale in Ticino, to be displayed and sold in our center. You can find many other vehicles, all checked and selected by us.  The preparation fee is 250chf and includes, fluids level check, brake fluid replacement, full tank, registration procedures, official technical inspection (MFK).   Proprietà veicolo:  Leasing posibbile",5490,KAWASAKI ER-6 n ABS (25kW),NA,NA,NA,2012,KAWASAKI,ER-6 n ABS (25kW),8927,Schaltgetriebe,Benzin,Schwarz,Hinterradantrieb,Angebot,2023-04-01,47638966,no
26,Kawasaki er6n 2012 (35kw) avec ABS,"Superbe moto, idéale pour permis 35 kw.
Très souple et maniable
ABS, toutes les modifications faites sont homologuées et inscrites dans le permis de circulation.
38'700 km évolutif
Service fait, pneus quasi neufs, propre et prête à être expertisée.
",3900,Kawasaki er6n 2012 (35kw) avec ABS,Gegenstand ,Geringe Gebrauchsspuren ,600 Cm3,2012,KAWASAKI,ER6n,38700,Schaltgetriebe,NA,Schwarz,NA,Angebot,2023-03-24,47085003,no
27,Kawasaki ER-6n ABS 2008 7000 km 53 kW,"Kawasaki ER-6n ABS
Inverkehrssetzung: 24.07.2008
Tachostand: 7'000 km
Farbe: schwarz
Hubraum: 649 ccm
Leistung: 53 kW
Typenscheinnr: 6KA234
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 700 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, Eintausch, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",5900,Kawasaki ER-6n ABS 2008 7000 km 53 kW,Gegenstand ,Geringe Gebrauchsspuren ,750 Ccm,2008,KAWASAKI,ER-6n ABS,7000,NA,NA,Schwarz,NA,Angebot,2023-03-13,47318592,no
