listing_no,title,description,price,model_simple,Art,Zustand,Hubraum (Ccm),Baujahr,Marke,Modell,Kilometer,Treibstoff,Aussenfarbe,Ab MFK,Art des Inserats,Letzte Änderung,Inseratnummer,Getriebeart,Antrieb
1,Honda CB500F Moto,"Offre exceptionnelle; cette moto est en état presque neuf, a fait très peu de kilomètres, services régulières et très bien entretenue.
Elle a 3600 kilomètres, avec en accessoire la parbrise et porte bagages SHAD avec coffre de 48 litres.
Die Offerte des Jahres, dieses Motorrad ist wie neu. Es hat nur 3600 Kilometer und ist mit zusätzlichem Windschild und SHAD Gepäckträger und Koffer mit 48Liter Kapazität ausgerüstet.
",CHF 6'900.–,Honda CB500F Moto,Gegenstand ,Neuwertig ,500 Cm3,2021 ,HONDA ,CB 500F,3'600 km,Benzin ,Schwarz ,,Angebot,18.03.2023,47421284,NA,NA
2,Honda CB500F,"Je vends une Honda CB 500 F de 2018
La moto a été soigneusement entretenue et toujours dormis sous un couvert.
La moto n'a jamais été accidentée.
Elle compte environ 9'000km.
Raison de la vente : Achat d'un autre véhicule
N'hésitez pas à me contacter pour tout complément d'information, de photo ou visite.
",CHF 5'200.– / Verhandlungspreis,Honda CB500F,Gegenstand ,Neuwertig ,500 Cm3,2018 ,HONDA ,CB500 F,9'000 km,NA,NA,NA,Angebot,22.03.2023,47495442,NA,NA
3,Honda CB500F,"Honda CB500F 2017 en très bon état. Les pneus sont comme neuf et les freins sont en orde. Les services ont toujours été effectués dans les délais constructeur. Le grand service + remplacement du kit chaîne à été effectué à 25'000 km. La moto a toujours dormi au sec.
Si intéressé, veuillez me contacter par téléphone ou par messagerie.
",CHF 4'700.–,Honda CB500F,Gegenstand ,Neuwertig ,500 Cm3,2017 ,HONDA ,CB500F,28'550 km,NA,Weiss ,NA,Angebot,19.03.2023,47320504,NA,NA
4,HONDA CB 500 F,"Allestimento supplementare:  Pneumatici nuovi  Proprietà veicolo:  Collaudata  Leasing posibbile  Lo scambio è possibile",CHF 7'690.–,HONDA CB 500 F,NA,NA,NA,2023 ,HONDA ,CB 500 F,1 km,Benzin ,Grau ,,Angebot,09.03.2023,47259317,Schaltgetriebe ,Hinterradantrieb 
5,HONDA CB 500F ,"Ich verkaufe mein wunderschönes Motorrad zwar nur ungerne, jedoch habe ich es in den letzten zwei Jahren kaum gebraucht und lasse es ungern einfach herumstehen. Dadurch hat das Motorrad seit 2016 nur 14500 Kilometer gemacht. Es ist noch in gutem Zustand und hat nur leichte Gebrauchsspuren. Bei Interesse melde Dich doch einfach mal. :)
Lg Bianca
Zusatzinfos:
Frisch ab MFK (04.08.2022)
Letzer Service bei 10'000km.
",CHF 4'500.– / Verhandlungspreis,HONDA CB 500F ,Gegenstand ,Geringe Gebrauchsspuren ,500 Cm3,NA,HONDA ,CB 500F,14'500 km,Benzin ,Grau ,NA,Angebot,20.03.2023,44224809,Schaltgetriebe ,Kette 
6,HONDA CB 500 F,"Proprietà veicolo:  Collaudata",CHF 7'690.–,HONDA CB 500 F,NA,NA,NA,2023 ,HONDA ,CB 500 F,1 km,Benzin ,Anthrazit ,,Angebot,17.02.2023,46966423,Schaltgetriebe ,Hinterradantrieb 
7,Location moto Honda CB500F 35kw,"La version rabaissée ou standard 
Rendez-vous près de chez toi: Chavornay, Echallens, Lausanne, Villeneuve
Options disponibles
Équipements de protection, veste, gants, casque
Kit d'exercice examen
Support téléphone GPS
Moto disponible pour le permis A35Kw
Permis provisoire bienvenue
Plus de choix sur Ride-me
",CHF 99.–,Location moto Honda CB500F 35kw,Gegenstand ,Neu ,500 Cm3,2023 ,HONDA ,CB500F,NA,NA,NA,NA,Angebot,12.03.2023,46922966,Schaltgetriebe ,NA
8,Honda CB500 F Moto,"Très bonne offre; cette moto est en très bon état, services régulières et très bien entretenue.
Elle a 22000 kilomètres, avec en accessoire la parbrise et porte bagages SHAD avec coffre de 48 litres.
Ganz tolle Offerte, dieses Motorrad ist in sehr gutem Zustand, regelmässige Services. Es hat 22000 Kilometer und ist mit zusätzlichem Windschild und SHAD Gepäckträger und Koffer mit 48Liter Kapazität ausgerüstet.
",CHF 4'300.–,Honda CB500 F Moto,Gegenstand ,Geringe Gebrauchsspuren ,500 Cm3,2018 ,HONDA ,CB500 F,22'000 km,Benzin ,Schwarz ,,Angebot,18.03.2023,47421115,NA,NA
9,Honda CB500 f,"Honda CB500 f
Diese Honda eignet sich hervorragen um die Prüfung A bis 35kw zu absolvieren. Sie ist wendig und leicht. Gewisse Manöver können bei der Prüfung einfach im Standgas ohne Kuppeln oder Bremsen absolviert werden. Die LSL Brems- und Kupplungshebel ermöglichen zudem ein besseres Feingefühl und sind leichter zu bedienen als die standard Ausführung.
KM-Stand aktuell: 7’100km
Letzte MFK 25.03.2022
Brems- und Kupplungshebel von LSL im FZ Ausweis eingetragen
Windschild von PUIG mit EG Eignungserklärung (Eintragungsfrei)
Die Honda kann in 4542 Luterbach besichtigt und Probe gefahren werden.
Preisverhandlungen nur vor Ort.
",CHF 5'200.–,Honda CB500 f,Gegenstand ,Neuwertig ,500 Cm3,2016 ,HONDA ,CB 500f,7'100 km,Benzin ,Anthrazit ,,Angebot,26.03.2023,44961771,Schaltgetriebe ,Kette 
10,HONDA CB 500 F,"H2 Umbau  - Blinker  - Heck  - Spiegel  H2  - Leovince Auspuffanlage  Umbau  Eigenschaften:  Ab MFK  Leasing ist möglich  Eintausch ist möglich  35 kW Kit vorhanden",CHF 9'280.–,HONDA CB 500 F,NA,NA,NA,2023 ,HONDA ,CB 500 F,7 km,Benzin ,Grau ,,Angebot,01.04.2023,47638943,Schaltgetriebe ,Hinterradantrieb 
11,HONDA CB 500 F,"Eigenschaften:  Ab MFK",CHF 7'870.–,HONDA CB 500 F,NA,NA,NA,2023 ,HONDA ,CB 500 F,54 km,Benzin ,NA,,Angebot,01.04.2023,47638923,Schaltgetriebe ,Hinterradantrieb 
12,Honda CB500 F,"Moto neuve avec 1540 km au compteur. Excellente moto pour passer le permis 35kw avec ABS.  Vendu avec crash bar moto.
Année 2021, moto toujours au garage
",CHF 7'450.– / Verhandlungspreis,Honda CB500 F,Gegenstand ,Neu ,500 Cm3,2021 ,HONDA ,CB500 F,1'540 km,NA,Schwarz ,NA,Angebot,27.03.2023,47129325,NA,NA
13,HONDA CB 500 F,"Eigenschaften:  Ab MFK  Leasing ist möglich",CHF 7'690.–,HONDA CB 500 F,NA,NA,NA,2023 ,HONDA ,CB 500 F,1 km,Benzin ,Gelb ,,Angebot,30.03.2023,47609338,Schaltgetriebe ,Hinterradantrieb 
14,HONDA CB 500 F,"Eigenschaften:  Ab MFK  Leasing ist möglich  Eintausch ist möglich",CHF 7'690.–,HONDA CB 500 F,NA,NA,NA,2023 ,HONDA ,CB 500 F,7 km,Benzin ,Schwarz ,,Angebot,24.03.2023,47523796,Schaltgetriebe ,Hinterradantrieb 
15,HONDA CB 500 F,"Super Angebot- nur 3600km-fast nie gebraucht. so gut wie neu, mit Windscheibe und Shade Gepäckgerüst und Koffer (48l).  Super offerta- solo 3600km- quasi mai usata. come nuova, con parabrezza e telaio e valigia Shade (48l).  Super offre- seulement 3600km-presque jamais utilisée. comme neuve, avec pare-brise et shade armature de bagages et valise (48l).  Super Angebot- nur 3600km-fast nie gebraucht. so gut wie neu, mit Windscheibe und Shade Gepäckgerüst und Koffer (48l).  Eigenschaften:  Ab MFK",CHF 6'900.–,HONDA CB 500 F,NA,NA,NA,2021 ,HONDA ,CB 500 F,3'600 km,Benzin ,Schwarz ,,Angebot,22.03.2023,47492955,Schaltgetriebe ,Hinterradantrieb 
16,HONDA CB 500 F,"Excellente moto pour passer le permis 35kw avec ABS. Vendu avec crash bar moto.  Propriétés véhicule:  Expertisée",CHF 7'450.–,HONDA CB 500 F,NA,NA,NA,2021 ,HONDA ,CB 500 F,1'540 km,Benzin ,Schwarz ,,Angebot,05.03.2023,47194885,Schaltgetriebe ,Hinterradantrieb 
17,HONDA CB 500 F,"Exkl. Ablieferungs- und Transport Pauschale 250.-   Inkl. Tankpad   Eigenschaften:  Ab MFK",CHF 7'690.–,HONDA CB 500 F,NA,NA,NA,2023 ,HONDA ,CB 500 F,10 km,Benzin ,Schwarz ,,Angebot,19.03.2023,47443575,Schaltgetriebe ,Hinterradantrieb 
18,HONDA CB 500 F,"Bei diesem Fahrzeug handelt es sich um ein NEUFAHRZEUG das bei uns Direct Performance in Bättwil steht.  - ab Service  - ab MFK  - exkl. Ablieferungspauschale  !!!! NEUFAHRZEUG !!!!  Eigenschaften:  Ab MFK  Leasing ist möglich  Eintausch ist möglich",CHF 7'690.–,HONDA CB 500 F,NA,NA,NA,2023 ,HONDA ,CB 500 F,1 km,Benzin ,Grau ,,Angebot,16.03.2023,47380107,Schaltgetriebe ,Hinterradantrieb 
19,HONDA CB 500 F,"Aktion für Fahranfänger, die ihren A-Limit-Führerschein noch keine 2 Jahre besitzen gibt es einen Rabatt von 500,-.   Jetzt kostet die CB500FA 7190,- anstatt 7690,- nur bis zum 31.05.2023  Aktionspreis  Eigenschaften:  Ab MFK",CHF 7'190.–,HONDA CB 500 F,NA,NA,NA,2023 ,HONDA ,CB 500 F,1 km,Benzin ,Grau ,,Angebot,15.03.2023,47358960,Schaltgetriebe ,Hinterradantrieb 
20,HONDA CB 500 F,"Eigenschaften:  Ab MFK",CHF 7'870.–,HONDA CB 500 F,NA,NA,NA,2023 ,HONDA ,CB 500 F,10 km,Benzin ,NA,,Angebot,11.03.2023,47290551,Schaltgetriebe ,Hinterradantrieb 
21,HONDA CB 500 F,"Eigenschaften:  Ab MFK",CHF 7'870.–,HONDA CB 500 F,NA,NA,NA,2023 ,HONDA ,CB 500 F,10 km,Benzin ,NA,,Angebot,11.03.2023,47290550,Schaltgetriebe ,Hinterradantrieb 
22,HONDA CB 500 F,guter Zustand\\\\Kundenauftrag: von Privat\\kein Eintausch möglich,CHF 4'900.–,HONDA CB 500 F,NA,NA,NA,2014 ,HONDA ,CB 500 F,24'137 km,Benzin ,NA,NA,Angebot,01.04.2023,47259128,Schaltgetriebe ,Hinterradantrieb 
23,HONDA CB 500 F,"Top  Eigenschaften:  Ab MFK",CHF 6'550.–,HONDA CB 500 F,NA,NA,NA,2022 ,HONDA ,CB 500 F,3'075 km,Benzin ,NA,,Angebot,09.03.2023,47259122,Schaltgetriebe ,Hinterradantrieb 
24,HONDA CB 500 F ABS,"Motorrad Zustand: Top  Die grosse Ausstellungshalle mit über 200 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.  3 Monate Garantie, MFK, ab Service, Eintausch, Leasing, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.  Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.  Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.  Bei Fragen oder Unsicherheiten können Sie uns telefonisch auf den Nummern 079 717 53 12 / 062 393 12 96 oder per Mail via Knopf [Anfrage] erreichen.  Jg. 2015, 471 ccm, 35 kW",CHF 5'900.–,HONDA CB 500 F ABS,NA,NA,NA,2015 ,HONDA ,CB 500 F ABS,9'400 km,NA,Mehrfarbig ,NA,Angebot,25.03.2023,47536361,NA,NA
25,Honda CB 500 F 35kw,"Honda CB 500 F 2022
35 kw
Garantie constructeur 3 ans
Leasing possible 120.-/mois sans apport
",CHF 6'490.–,Honda CB 500 F 35kw,Gegenstand ,Neu ,500 Cm3,2022 ,HONDA ,NA,2'000 km,NA,NA,NA,Angebot,22.03.2023,47494253,NA,NA
26,HONDA CB 500 F,"Eigenschaften:  Ab MFK",CHF 6'990.–,HONDA CB 500 F,NA,NA,NA,2021 ,HONDA ,CB 500 F,1'688 km,Benzin ,Schwarz ,,Angebot,05.03.2023,47194871,Schaltgetriebe ,Hinterradantrieb 
27,HONDA CB 500 F,"Véhicule disponible de suite !  Nous vous offrons les services pendant 2 ans !  - Financement possible pour ce véhicule.  Nous parlons français, anglais, portugais, italien et espagnol.  Votre agent officiel Honda, DaytonaShop.  2 ans de service Offert !  Equipement supplémentaire:  Pneus neufs  Propriétés véhicule:  Expertisée  Leasing possible  L'echange est possible",CHF 7'690.–,HONDA CB 500 F,NA,NA,NA,2023 ,HONDA ,CB 500 F,1 km,Benzin ,Rot ,,Angebot,03.03.2023,47166986,Schaltgetriebe ,Hinterradantrieb 
28,HONDA CB 500 F,"Véhicule disponible de suite !  Nous vous offrons les services pendant 2 ans !  - Financement possible pour ce véhicule.  Nous parlons français, anglais, portugais, italien et espagnol.  Votre agent officiel Honda, DaytonaShop.  2 ans de service Offert !!   Equipement supplémentaire:  Pneus neufs  Propriétés véhicule:  Expertisée  Leasing possible  L'echange est possible",CHF 7'690.–,HONDA CB 500 F,NA,NA,NA,2023 ,HONDA ,CB 500 F,1 km,Benzin ,Gelb ,,Angebot,03.03.2023,47166985,Schaltgetriebe ,Hinterradantrieb 
29,HONDA CB 500 F,"Eigenschaften:  Ab MFK",CHF 7'690.–,HONDA CB 500 F,NA,NA,NA,2023 ,HONDA ,CB 500 F,1 km,Benzin ,Grau ,,Angebot,02.03.2023,47151422,Schaltgetriebe ,Hinterradantrieb 
30,Honda CB 500 F,"Je vends ma Honda CB500 F de 2017 expertisée en 09.22 et en très bon état et seulement avec 7658km. Le filtre et le huile du moteur ont été changés. La moto est encore immatriculée, j'ai plaques interchangeables, et c'est possible faire un tour essai. 
Les pneus sont en très bon état.
Je ne suis pas pressé à la vendre car elle fonctionne super bien et a une consommation très basse.
Idéalement pour débutants. 
Bonne route. 
Des propositions ridicules n'auront pas de réponse ! 
",CHF 5'100.–,Honda CB 500 F,Gegenstand ,Neuwertig ,500 Cm3,2017 ,HONDA ,CB500F,7'658 km,Benzin ,Anthrazit ,NA,Angebot,11.03.2023,46895097,Schaltgetriebe ,Kette 
31,HONDA CB 500 F ABS,Zubehör: Batterieladegerät (für Ûberwinterung),CHF 4'900.–,HONDA CB 500 F ABS,NA,NA,NA,2019 ,HONDA ,CB 500 F ABS,3'500 km,Benzin ,Orange ,NA,Angebot,30.03.2023,47399709,Schaltgetriebe ,Hinterradantrieb 
32,HONDA CB 500 F ABS,"REPRISE VÉHICULE - LIVRAISON  A vendre Magnifique HONDA CB 500 FA ABS  Année 2020 / 17’000 Km  Puissance : 35 kW , idéal pour permis A 35KW à partir de 18 ans !  Service effectué ! Avec carnet de service !  Pneu arrière Neuf !  Écran avec affichage de la vitesse engagée !  Avec les 2 clés !  Pas de frais à prévoir, simplement immatriculer et rouler !  Livraison du véhicule également possible !   ///REGARDEZ AUSSI MES AUTRES ANNONCES///  ABS / Livraison possible !  Propriétés véhicule:  Expertisée",CHF 4'900.–,HONDA CB 500 F ABS,NA,NA,NA,2020 ,HONDA ,CB 500 F ABS,17'000 km,Benzin ,Weiss ,,Angebot,25.02.2023,47082760,Schaltgetriebe ,Hinterradantrieb 
33,Honda CB  500 F,"Je vous propose ma honda CBF 500
Ideal jeune conducteur, moto légère et agile en ville comme en montagne.
moto n’ayant jamais été accidentée.
Pneu bon etat.
Disques et plaquette de frein bon état.
Vidange complète effectuée en fin d’année 2022.
Complètement d’origine.
Sera expertisée avant la vente.
",CHF 2'500.–,Honda CB  500 F,Gegenstand ,Geringe Gebrauchsspuren ,500 Cm3,2004 ,HONDA ,CB 500,21'437 km,Benzin ,Blau ,NA,Angebot,11.03.2023,47277986,Schaltgetriebe ,Kette 
34,HONDA CB 500 F,"Véhicule neuf, visible en magasin, essai sur rendez-vous, leasing possible  New vehicle, visible in store, test drive by appointment, leasing possible  Propriétés véhicule:  Expertisée",CHF 7'690.–,HONDA CB 500 F,NA,NA,NA,2023 ,HONDA ,CB 500 F,1 km,Benzin ,Anthrazit ,,Angebot,09.03.2023,47258509,Schaltgetriebe ,Hinterradantrieb 
35,HONDA CB 500 F ABS,"nachgerüstet mit:  - Griffheizung (mehrstufig)  - Windschild  - Sturzbügel  - Hauptständer  - Topcase  mit Zusatzausstattung  Eigenschaften:  Ab MFK",CHF 6'000.–,HONDA CB 500 F ABS,NA,NA,NA,2020 ,HONDA ,CB 500 F ABS,10'168 km,Benzin ,Mehrfarbig ,,Angebot,27.03.2023,47560884,Schaltgetriebe ,Hinterradantrieb 
36,HONDA CB 500 F,"Promotions-Bonus von Fr.500.- Exkl. Ablieferpauschale ! Verlangen Sie auch eine unverbindliche Versicherungsofferte! So und jetzt ab zum Schlatter !!!  NEU, ab Lager !  Extras:  Neu bereift  Eigenschaften:  Ab MFK  Leasing ist möglich  Eintausch ist möglich",CHF 7'190.–,HONDA CB 500 F,NA,NA,NA,2023 ,HONDA ,CB 500 F,1 km,Benzin ,Rot ,,Angebot,15.03.2023,47020175,Schaltgetriebe ,Hinterradantrieb 
37,HONDA CB 500 F,"Ab Lager lieferbar.  BRIVEMO Motos: Ihr Honda Partner im Herzen der Schweiz!  Back in Black! Demomoto  Eigenschaften:  Ab MFK  Leasing ist möglich  Eintausch ist möglich",CHF 6'990.–,HONDA CB 500 F,NA,NA,NA,2023 ,HONDA ,CB 500 F,350 km,Benzin ,Schwarz ,,Angebot,23.03.2023,46984724,Schaltgetriebe ,Hinterradantrieb 
38,HONDA CB 500 F,"Ab Lager Lieferbar!  4 Jahre Werksgarantie!  Eine Lieferung zu Ihnen nach Hause, ist gegen Aufpreis von Fr.100.- pro Stunde Fahrzeit möglich.  AKTIONSPREIS  Eigenschaften:  Ab MFK",CHF 7'190.–,HONDA CB 500 F,NA,NA,NA,2023 ,HONDA ,CB 500 F,1 km,Benzin ,Rot ,,Angebot,17.02.2023,46966390,Schaltgetriebe ,Hinterradantrieb 
39,Honda CB500 F,"Vend avec regret une super moto. 
Idéale pour faire le permis jusqu’à 35 kW et possible de faire le supérieur aussi. 
Moto originale sans modification, seuls des crashpad ont été ajouté et n’ont jamais vu la couleur du bitume.
Moto ayant toujours dormi à l’abris.
",CHF 6'500.– / Verhandlungspreis,Honda CB500 F,Gegenstand ,Neuwertig ,500 Cm3,2018 ,HONDA ,CB 500FA 35KW,9'488 km,Benzin ,Blau ,NA,Angebot,27.03.2023,47129063,Schaltgetriebe ,NA
